customer_key,customer_code,geography_key,customer_name,education,occupation
217,11216,203,"Torres, Jasmine",Partial College,Professional
218,11217,203,"Adams, Natalie",Partial College,Professional
219,11218,281,"Brown, Olivia",Partial College,Professional
220,11219,206,"Cook, Charles",High School,Professional
221,11220,56,"Huang, Erica",Partial College,Professional
222,11221,67,"Perry, Nathan",Partial College,Professional
223,11222,84,"Rivera, Alexandra",Bachelors,Management
225,11224,258,"Li, Tiffany",High School,Professional
226,11225,275,"Lee, Madison",Partial College,Professional
227,11226,205,"Ross, Sydney",Partial College,Professional
228,11227,56,"Chavez, Marshall",Partial College,Professional
229,11228,61,"Jones, Ashley",Partial College,Professional
230,11229,78,"Stewart, Adrian",Partial College,Professional
231,11230,84,"Turner, Amber",Partial College,Professional
232,11231,257,"Zhang, Dennis",High School,Professional
233,11232,262,"Bryant, Hailey",High School,Professional
234,11233,45,"Li, Todd",Partial College,Professional
235,11234,70,"Griffin, Anna",Partial College,Professional
236,11235,253,"Stewart, Angel",Partial College,Professional
237,11236,255,"Butler, Jeremy",Partial College,Professional
238,11237,31,"Anand, Clarence",Bachelors,Management
246,11245,13,"Vazquez, Ricky",High School,Professional
247,11246,13,"Rubio, Latasha",High School,Professional
250,11249,35,"Patel, Cindy",Partial College,Professional
253,11252,68,"Thompson, Nicholas",Graduate Degree,Management
255,11254,258,"Vance, Johnathan",Graduate Degree,Management
256,11255,258,"Lin, Colin",Graduate Degree,Management
257,11256,268,"Hernandez, Katelyn",Graduate Degree,Management
258,11257,74,"Powell, Jacqueline",Graduate Degree,Management
259,11258,77,"Hill, Xavier",Graduate Degree,Management
260,11259,204,"Stewart, Victoria",Partial College,Professional
261,11260,48,"Kelly, Katelyn",Bachelors,Management
262,11261,80,"Collins, Stephanie",Graduate Degree,Management
264,11263,258,"Richardson, Trinity",Partial College,Professional
265,11264,265,"Martin, Eduardo",Partial College,Professional
266,11265,267,"Jones, Elizabeth",Partial College,Professional
267,11266,272,"Howard, Taylor",Partial College,Professional
268,11267,48,"Diaz, David",Partial College,Professional
269,11268,58,"Carter, Katelyn",Graduate Degree,Management
270,11269,59,"Foster, Ryan",Graduate Degree,Management
271,11270,67,"Lee, Robert",Graduate Degree,Management
272,11271,81,"Reed, Danielle",Bachelors,Management
273,11272,46,"Martinez, Lauren",Partial College,Professional
274,11273,66,"Lal, Nathan",Partial College,Professional
275,11274,255,"Foster, Kyle",Graduate Degree,Management
276,11275,56,"Rai, Jenny",Graduate Degree,Management
279,11278,261,"Phillips, Jonathan",Partial College,Professional
280,11279,262,"Cook, Amanda",Partial College,Professional
281,11280,268,"Collins, Robert",Partial College,Professional
282,11281,47,"Barnes, Megan",Bachelors,Management
283,11282,258,"Thomas, Christian",Partial College,Professional
284,11283,45,"Lal, Arturo",Bachelors,Management
285,11284,53,"Serrano, Theresa",Bachelors,Management
286,11285,62,"Anderson, Jeremy",Partial College,Professional
287,11286,86,"Griffin, Hunter",Graduate Degree,Management
289,11288,47,"Sanchez, Cindy",Bachelors,Management
290,11289,60,"Carter, Maria",Bachelors,Management
291,11290,67,"Sanchez, Katelyn",Bachelors,Management
292,11291,68,"Wright, Jenna",Bachelors,Management
293,11292,82,"Phillips, Seth",Partial College,Professional
294,11293,272,"Long, Luke",High School,Professional
295,11294,265,"Clark, Dalton",High School,Professional
296,11295,57,"Lewis, Taylor",Partial High School,Skilled Manual
297,11296,262,"Richardson, Haley",Graduate Degree,Management
298,11297,47,"Coleman, Noah",Graduate Degree,Management
299,11298,53,"Luo, Jon",Graduate Degree,Management
300,11299,47,"Vazquez, Orlando",Graduate Degree,Management
306,11305,53,"Evans, Sean",Partial College,Professional
307,11306,58,"Zhou, Micah",Partial College,Professional
316,11315,272,"Ward, Hailey",Graduate Degree,Management
318,11317,204,"Russell, Victoria",Partial College,Professional
319,11318,261,"Wilson, Jessica",Partial College,Professional
320,11319,76,"Bailey, Jade",Graduate Degree,Management
321,11320,63,"Hill, Morgan",Graduate Degree,Management
322,11321,258,"Raman, Terrance",Bachelors,Management
323,11322,257,"Garcia, Sydney",Bachelors,Management
324,11323,59,"Patterson, Jose",Graduate Degree,Management
325,11324,63,"Anderson, Zachary",Bachelors,Management
326,11325,276,"Ross, Elijah",Bachelors,Management
327,11326,46,"Xie, Rafael",Bachelors,Management
328,11327,47,"Moreno, Jaime",Bachelors,Management
330,11329,57,"Alvarez, Andy",Bachelors,Management
333,11332,12,"Ramos, Deanna",Graduate Degree,Manual
336,11335,8,"Raman, Carla",Bachelors,Manual
339,11338,22,"Navarro, Frank",Graduate Degree,Clerical
348,11347,19,"Navarro, Roy",Partial College,Manual
349,11348,30,"Rai, Shawn",Partial College,Manual
350,11349,10,"Luo, Mindy",Partial College,Manual
355,11354,26,"Suarez, Deanna",Partial College,Manual
374,11373,21,"Luo, Carly",Bachelors,Clerical
375,11374,32,"Ortega, Jimmy",Bachelors,Clerical
378,11377,31,"Robinett, David",Graduate Degree,Clerical
381,11380,34,"Kumar, Mitchell",Partial College,Manual
387,11386,14,"Cai, Jaclyn",Bachelors,Clerical
390,11389,24,"Shan, Karl",High School,Manual
392,11391,21,"Xie, Lindsay",High School,Manual
393,11392,15,"Zhao, Willie",High School,Manual
396,11395,15,"Gutierrez, Beth",Bachelors,Clerical
397,11396,34,"Lopez, Ian",High School,Manual
405,11404,16,"Taylor, Megan",Partial College,Manual
406,11405,22,"Goel, Bonnie",Partial College,Manual
408,11407,28,"She, Mario",Partial College,Manual
412,11411,9,"Ross, Devin",Partial College,Professional
413,11412,9,"Bryant, Sydney",Partial College,Professional
416,11415,14,"She, Randy",Partial College,Professional
419,11418,30,"Hu, Rafael",Partial College,Professional
422,11421,18,"Sun, Amy",Bachelors,Management
424,11423,13,"Stewart, Jasmine",Partial College,Professional
425,11424,12,"Garcia, Pamela",Partial College,Professional
427,11426,19,"Mehta, Kristopher",Bachelors,Management
428,11427,39,"Dominguez, Desiree",Partial College,Professional
429,11428,11,"Perez, Deanna",Bachelors,Management
431,11430,23,"Yuan, Casey",High School,Professional
432,11431,8,"Garcia, Bryant",Partial College,Professional
436,11435,39,"Romero, Robin",Partial College,Management
439,11438,32,"Nara, Jenny",High School,Management
471,11470,6,"Suarez, Jay",Partial High School,Manual
478,11477,14,"Hughes, Tristan",High School,Manual
482,11481,19,"Hu, Erica",Bachelors,Skilled Manual
485,11484,29,"Sai, Erick",Partial College,Clerical
487,11486,7,"Rogers, Ariana",Partial High School,Manual
493,11492,37,"Chander, Terrence",High School,Manual
496,11495,22,"Jimenez, Francis",Partial College,Clerical
500,11499,57,"Vance, Pedro",Partial College,Clerical
505,11504,60,"Baker, Jordan",Bachelors,Skilled Manual
509,11508,268,"Wilson, Elizabeth",Graduate Degree,Skilled Manual
510,11509,75,"Harui, Roger",Bachelors,Skilled Manual
512,11511,200,"Perry, Caleb",Bachelors,Skilled Manual
515,11514,281,"Diaz, Dalton",High School,Clerical
516,11515,47,"Huang, Shannon",High School,Clerical
517,11516,56,"Gonzales, Mya",High School,Clerical
518,11517,78,"Bryant, Katherine",Partial College,Clerical
519,11518,201,"Washington, Edward",Partial College,Clerical
522,11521,284,"Peterson, Ariana",Partial College,Clerical
523,11522,202,"Hughes, Christian",Graduate Degree,Skilled Manual
525,11524,86,"Jackson, Alyssa",Partial College,Clerical
545,11544,14,"Garcia, Joel",Bachelors,Clerical
553,11552,21,"Rubio, Eddie",Partial College,Manual
560,11559,31,"Subram, Frederick",Bachelors,Clerical
562,11561,10,"Dominguez, Briana",Partial High School,Manual
563,11562,38,"Gonzalez, Jarrod",High School,Manual
565,11564,15,"Liang, Jorge",High School,Manual
568,11567,12,"Perez, Carla",Bachelors,Clerical
571,11570,12,"Andersen, Kristin",Bachelors,Skilled Manual
585,11584,29,"Carter, Devin",Bachelors,Skilled Manual
596,11595,7,"Howard, Sebastian",High School,Manual
599,11598,33,"Ruiz, Meredith",Partial College,Clerical
603,11602,21,"Gill, Larry",Partial College,Clerical
606,11605,6,"Subram, Heidi",High School,Manual
614,11613,38,"Prasad, Meredith",Partial College,Clerical
615,11614,18,"Sharma, Katrina",Partial College,Clerical
640,11639,72,"Perry, Angelica",Graduate Degree,Professional
644,11643,258,"Munoz, Naomi",Bachelors,Skilled Manual
645,11644,274,"Torres, Charles",Bachelors,Skilled Manual
646,11645,204,"Turner, Gabriella",Bachelors,Skilled Manual
647,11646,258,"Foster, Anna",Bachelors,Skilled Manual
649,11648,53,"Scott, Kevin",Graduate Degree,Professional
650,11649,74,"White, Ian",Graduate Degree,Professional
651,11650,63,"Hayes, Caleb",Graduate Degree,Professional
654,11653,200,"Peterson, Sydney",Graduate Degree,Professional
655,11654,44,"Sanchez, Ariana",Graduate Degree,Professional
656,11655,57,"Sharma, Tamara",Graduate Degree,Professional
657,11656,65,"Perez, Katelyn",Graduate Degree,Professional
658,11657,75,"Cox, Megan",Graduate Degree,Professional
659,11658,76,"Mitchell, Robert",Graduate Degree,Professional
663,11662,201,"Kumar, Ethan",Graduate Degree,Professional
664,11663,284,"Williams, Seth",Graduate Degree,Professional
665,11664,48,"Morgan, Alyssa",Graduate Degree,Professional
666,11665,53,"Dominguez, Janet",Graduate Degree,Professional
667,11666,86,"Baker, Angel",Graduate Degree,Professional
668,11667,284,"Moore, Blake",Bachelors,Skilled Manual
669,11668,46,"Collins, Jada",Bachelors,Skilled Manual
670,11669,281,"Simmons, Isabella",Bachelors,Skilled Manual
671,11670,64,"Perry, Jacqueline",Bachelors,Skilled Manual
672,11671,61,"Brown, Jessica",Bachelors,Skilled Manual
673,11672,46,"Jai, Chad",Bachelors,Skilled Manual
674,11673,258,"Ye, Susan",Bachelors,Skilled Manual
675,11674,88,"Rogers, Morgan",Graduate Degree,Professional
676,11675,262,"Martinez, Devin",Graduate Degree,Professional
677,11676,161,"Hu, Alan",Graduate Degree,Professional
679,11678,306,"Chavez, Johnny",Graduate Degree,Professional
680,11679,273,"Richardson, Dalton",Graduate Degree,Professional
681,11680,274,"Nelson, Kaylee",Graduate Degree,Professional
682,11681,279,"Jones, Abigail",Graduate Degree,Professional
683,11682,281,"Hall, Kaitlyn",Graduate Degree,Professional
684,11683,61,"Taylor, Greg",Graduate Degree,Professional
685,11684,274,"Parker, Devin",Bachelors,Professional
686,11685,201,"Griffin, Jose",Bachelors,Professional
687,11686,63,"Edwards, Luke",Bachelors,Professional
688,11687,66,"Torres, Cody",Bachelors,Professional
689,11688,277,"Morris, Victoria",Bachelors,Skilled Manual
690,11689,261,"Diaz, Ian",Bachelors,Skilled Manual
691,11690,272,"Butler, Caroline",Graduate Degree,Professional
692,11691,65,"Wilson, Kaitlyn",Bachelors,Professional
693,11692,47,"Gonzales, Caleb",Bachelors,Professional
695,11694,56,"Ortega, Jonathon",Bachelors,Skilled Manual
696,11695,46,"Campbell, Logan",Bachelors,Skilled Manual
697,11696,281,"Campbell, Mackenzie",Bachelors,Skilled Manual
698,11697,76,"Lee, Eduardo",Bachelors,Skilled Manual
700,11699,284,"Peterson, Chase",Bachelors,Skilled Manual
701,11700,88,"Richardson, Xavier",Bachelors,Professional
702,11701,75,"Hayes, David",Bachelors,Professional
703,11702,48,"Zhou, Jenny",Bachelors,Professional
704,11703,66,"Baker, Kaylee",Bachelors,Professional
705,11704,83,"Hernandez, Evan",Bachelors,Professional
706,11705,88,"Richardson, Brooke",Graduate Degree,Professional
707,11706,48,"Perez, Blake",Bachelors,Professional
708,11707,88,"Cook, Natalie",Bachelors,Professional
709,11708,69,"Weisman, Elizabeth",Bachelors,Professional
711,11710,66,"Ramirez, Zoe",High School,Skilled Manual
714,11713,267,"Zhang, Kyle",Partial College,Skilled Manual
715,11714,80,"Long, Alexandria",Partial College,Skilled Manual
716,11715,82,"Robinson, Chloe",Partial College,Skilled Manual
717,11716,59,"Kelly, Evan",High School,Skilled Manual
718,11717,198,"Jones, Marcus",Partial College,Skilled Manual
719,11718,202,"Jones, Sarah",Partial College,Skilled Manual
721,11720,80,"Morris, Morgan",High School,Skilled Manual
722,11721,69,"Alexander, Jennifer",High School,Skilled Manual
723,11722,255,"Hughes, Julian",Partial College,Skilled Manual
726,11725,258,"Li, Jose",Partial College,Skilled Manual
727,11726,258,"Liang, Micah",Partial College,Skilled Manual
728,11727,73,"Taylor, Benjamin",Graduate Degree,Professional
729,11728,206,"White, Logan",Partial College,Skilled Manual
730,11729,267,"Campbell, Caleb",Partial College,Skilled Manual
731,11730,274,"Torres, Emma",Partial College,Skilled Manual
732,11731,48,"Gill, Tanya",Partial College,Skilled Manual
733,11732,194,"Sanchez, Erick",Partial College,Skilled Manual
734,11733,57,"Schmidt, Kristi",Partial College,Skilled Manual
735,11734,58,"Chen, Omar",Partial College,Skilled Manual
736,11735,268,"Gray, Sydney",Partial College,Skilled Manual
737,11736,62,"Sanchez, Sebastian",Partial College,Skilled Manual
738,11737,78,"Martin, Megan",Bachelors,Professional
742,11741,53,"Chander, Tamara",Graduate Degree,Professional
743,11742,78,"Lewis, Edward",Bachelors,Professional
744,11743,85,"Kelly, Chase",Bachelors,Professional
745,11744,85,"Campbell, Stephanie",Bachelors,Professional
746,11745,284,"Gonzalez, Allison",Bachelors,Professional
747,11746,281,"Brooks, Seth",Bachelors,Professional
748,11747,261,"Davis, Destiny",Graduate Degree,Professional
771,11770,253,"Nara, Peter",Graduate Degree,Skilled Manual
772,11771,269,"Rivera, Isaac",Graduate Degree,Skilled Manual
773,11772,281,"Moore, Cameron",Graduate Degree,Skilled Manual
774,11773,61,"Diaz, Gavin",Graduate Degree,Skilled Manual
775,11774,73,"Sanchez, Emma",Graduate Degree,Skilled Manual
780,11779,206,"Jackson, Sarah",Graduate Degree,Skilled Manual
781,11780,261,"Alexander, Jessica",Graduate Degree,Skilled Manual
782,11781,59,"Gray, Carlos",Graduate Degree,Skilled Manual
783,11782,47,"Jai, Barbara",Graduate Degree,Skilled Manual
784,11783,80,"Mitchell, Sara",Graduate Degree,Skilled Manual
786,11785,253,"Diaz, Theodore",Bachelors,Skilled Manual
787,11786,274,"Murphy, Ian",Graduate Degree,Skilled Manual
788,11787,47,"Nath, Jerry",Graduate Degree,Skilled Manual
789,11788,71,"James, Destiny",Graduate Degree,Professional
790,11789,73,"Phillips, Bailey",Bachelors,Skilled Manual
791,11790,53,"Gonzalez, Timothy",Bachelors,Skilled Manual
792,11791,279,"Morgan, Chase",Graduate Degree,Professional
793,11792,56,"Perry, Alexia",Bachelors,Skilled Manual
794,11793,47,"Rogers, Xavier",Bachelors,Skilled Manual
795,11794,67,"Ross, Lauren",Bachelors,Skilled Manual
796,11795,60,"Thomas, Nicole",Bachelors,Skilled Manual
797,11796,60,"Jenkins, Isabel",Bachelors,Skilled Manual
798,11797,76,"Coleman, Devin",Bachelors,Skilled Manual
799,11798,257,"Chande, Brendan",Bachelors,Skilled Manual
800,11799,258,"Wang, Jessie",Bachelors,Skilled Manual
801,11800,196,"Baker, Jennifer",Graduate Degree,Professional
802,11801,196,"Sharma, Aaron",Graduate Degree,Professional
804,11803,271,"Hernandez, Jan",Graduate Degree,Professional
805,11804,274,"Turner, Haley",Graduate Degree,Professional
806,11805,46,"Green, Richard",Graduate Degree,Professional
807,11806,48,"Stewart, Jennifer",Graduate Degree,Professional
808,11807,73,"Baker, Lucas",Graduate Degree,Professional
810,11809,46,"Gray, Juan",Bachelors,Skilled Manual
811,11810,257,"Washington, Antonio",Bachelors,Professional
812,11811,56,"Brooks, Abigail",Bachelors,Professional
813,11812,284,"Rodriguez, Andrew",Bachelors,Professional
814,11813,205,"Patterson, Mary",Bachelors,Professional
815,11814,199,"Morgan, Dalton",Graduate Degree,Professional
816,11815,281,"Patterson, Hannah",Graduate Degree,Professional
817,11816,46,"Torres, Joe",Graduate Degree,Professional
818,11817,56,"Miller, Morgan",Graduate Degree,Professional
819,11818,58,"Garcia, Daniel",Graduate Degree,Professional
820,11819,262,"Lal, Jose",Bachelors,Skilled Manual
822,11821,46,"Johnson, Austin",Graduate Degree,Professional
823,11822,69,"Wadia, Rohinton",Graduate Degree,Professional
826,11825,44,"She, Aimee",Graduate Degree,Professional
827,11826,46,"Alonso, Jessie",Graduate Degree,Professional
829,11828,201,"Martinez, Katherine",Graduate Degree,Professional
830,11829,276,"Campbell, Sophia",Graduate Degree,Professional
831,11830,69,"Garcia, Taylor",Graduate Degree,Professional
832,11831,79,"Ross, Christian",Graduate Degree,Professional
833,11832,284,"Murphy, Zoe",Bachelors,Professional
835,11834,72,"Flores, Fernando",Bachelors,Skilled Manual
837,11836,262,"Travers, Garrett",Bachelors,Skilled Manual
838,11837,81,"Alexander, Haley",Bachelors,Skilled Manual
839,11838,196,"Rodriguez, Justin",Bachelors,Skilled Manual
840,11839,84,"Brown, Tyler",Graduate Degree,Professional
841,11840,69,"Patterson, Julian",Graduate Degree,Professional
843,11842,271,"Wilson, Justin",Bachelors,Skilled Manual
844,11843,196,"Nara, Christy",Bachelors,Skilled Manual
845,11844,53,"Alvarez, Michele",Bachelors,Skilled Manual
847,11846,70,"Reed, Savannah",Bachelors,Skilled Manual
848,11847,203,"Diaz, Cassidy",Bachelors,Skilled Manual
849,11848,286,"Lewis, Joshua",Bachelors,Skilled Manual
850,11849,66,"Reed, Faith",Bachelors,Skilled Manual
851,11850,75,"Ramirez, Brooke",Bachelors,Skilled Manual
852,11851,57,"Mitchell, Jada",Bachelors,Professional
853,11852,67,"Russell, Kyle",Bachelors,Professional
854,11853,57,"Jones, Grace",Bachelors,Professional
855,11854,87,"Mitchell, Jason",Graduate Degree,Professional
856,11855,48,"Walker, Christian",Bachelors,Professional
857,11856,198,"Hernandez, Seth",Graduate Degree,Professional
858,11857,261,"Young, Isabella",Graduate Degree,Professional
859,11858,82,"Coleman, Jordan",High School,Skilled Manual
860,11859,271,"Garcia, Blake",Partial College,Skilled Manual
861,11860,73,"Walker, Nicole",Partial College,Skilled Manual
877,11876,76,"White, Madison",Partial College,Skilled Manual
878,11877,74,"Diaz, Alexis",Partial College,Skilled Manual
879,11878,253,"Nara, Christine",Partial College,Skilled Manual
880,11879,196,"Sai, Edgar",Partial College,Skilled Manual
881,11880,204,"Sanchez, Melissa",Partial College,Skilled Manual
882,11881,64,"Mitchell, Richard",Bachelors,Professional
883,11882,276,"Stewart, Patrick",Bachelors,Professional
884,11883,258,"Anderson, Hannah",Graduate Degree,Professional
885,11884,253,"Shen, Latoya",Graduate Degree,Professional
886,11885,48,"Sharma, Kurt",Graduate Degree,Professional
887,11886,84,"Parker, Katelyn",Bachelors,Professional
888,11887,58,"White, Joseph",Bachelors,Professional
890,11889,273,"Patterson, Blake",Bachelors,Professional
891,11890,45,"Lopez, Whitney",Graduate Degree,Professional
892,11891,46,"Liang, Jamie",Graduate Degree,Professional
924,11923,73,"Bryant, Sarah",Partial College,Skilled Manual
925,11924,75,"Long, Ian",Partial College,Skilled Manual
926,11925,255,"Jai, Ashlee",Partial College,Skilled Manual
927,11926,202,"Foster, Eduardo",Partial College,Skilled Manual
928,11927,277,"Murphy, Nicole",Partial College,Skilled Manual
929,11928,61,"Morris, Isabella",Partial College,Skilled Manual
932,11931,77,"Adams, Marcus",Partial College,Skilled Manual
933,11932,84,"Coleman, Elizabeth",Partial College,Skilled Manual
934,11933,255,"Rubio, Mathew",Partial High School,Clerical
935,11934,258,"Shan, Justin",Partial High School,Clerical
936,11935,200,"Taylor, Jessica",Partial College,Skilled Manual
937,11936,274,"Clark, Hunter",Partial College,Skilled Manual
938,11937,204,"Perez, Devin",Partial College,Skilled Manual
939,11938,59,"Alexander, Seth",Partial College,Skilled Manual
940,11939,65,"Washington, Kevin",Partial College,Skilled Manual
941,11940,88,"Miller, Tyler",Bachelors,Management
942,11941,206,"Roberts, Adam",Partial College,Skilled Manual
946,11945,57,"Huang, Dennis",Partial College,Skilled Manual
950,11949,86,"Brooks, Julia",Partial College,Skilled Manual
951,11950,58,"Carter, Jordan",Partial College,Skilled Manual
954,11953,201,"Wright, Courtney",High School,Skilled Manual
955,11954,63,"Garcia, Joseph",Partial College,Skilled Manual
956,11955,63,"Green, Gabriel",Partial College,Skilled Manual
957,11956,46,"Sandberg, Alexandria",High School,Skilled Manual
958,11957,274,"Hernandez, Courtney",Partial College,Skilled Manual
959,11958,257,"Lal, Dylan",Partial College,Professional
960,11959,68,"Davis, Elizabeth",Partial College,Professional
961,11960,274,"Griffin, Ana",Partial College,Professional
962,11961,45,"Alvarez, Anne",Partial College,Professional
963,11962,44,"Roberts, Alexandra",Partial College,Professional
971,11970,205,"Collins, Bailey",Bachelors,Management
972,11971,62,"Adams, Amanda",Bachelors,Management
973,11972,261,"Williams, Katherine",Partial College,Professional
974,11973,275,"Barnes, Caroline",Partial College,Professional
975,11974,45,"Sun, Randy",Partial College,Professional
976,11975,53,"Garcia, Destiny",High School,Professional
979,11978,62,"Washington, Jackson",Graduate Degree,Management
981,11980,84,"Richardson, Kimberly",High School,Professional
982,11981,262,"Howard, Alexandria",High School,Professional
983,11982,80,"Foster, Alexandra",High School,Professional
984,11983,44,"Ortega, Cheryl",Partial College,Professional
986,11985,196,"Hughes, Melanie",Bachelors,Management
1016,12015,69,"White, Jacob",High School,Skilled Manual
1017,12016,56,"Serrano, Meredith",High School,Skilled Manual
1019,12018,80,"Henderson, Devin",High School,Skilled Manual
1020,12019,86,"Cox, Gabrielle",High School,Skilled Manual
1023,12022,206,"Wright, Jose",High School,Skilled Manual
1024,12023,56,"Johnson, Fernando",Partial High School,Clerical
1025,12024,272,"Edwards, Samuel",High School,Skilled Manual
1026,12025,199,"Diaz, Logan",High School,Skilled Manual
1027,12026,87,"Flores, Lucas",High School,Skilled Manual
1028,12027,275,"Wood, Haley",High School,Skilled Manual
1029,12028,68,"Lewis, Sarah",Partial High School,Clerical
1030,12029,44,"Hu, Damien",Partial High School,Clerical
1031,12030,265,"Washington, Ana",High School,Skilled Manual
1034,12033,257,"Guo, Kristen",High School,Skilled Manual
1041,12040,80,"Torres, Richard",Partial College,Skilled Manual
1042,12041,269,"Martin, Seth",High School,Skilled Manual
1043,12042,286,"Carter, Alex",High School,Skilled Manual
1044,12043,62,"Patterson, Carson",Partial College,Skilled Manual
1045,12044,70,"Lopez, Madeline",Partial College,Skilled Manual
1046,12045,72,"Russell, Luis",Partial College,Skilled Manual
1051,12050,69,"Young, Aaron",Graduate Degree,Management
1052,12051,73,"Scott, Isaiah",Bachelors,Management
1053,12052,78,"Ward, Makayla",Bachelors,Management
1054,12053,47,"Gao, Cedric",Graduate Degree,Management
1058,12057,269,"Collins, Madeline",Graduate Degree,Management
1059,12058,62,"Nelson, Chloe",Bachelors,Management
1060,12059,275,"Jenkins, Jason",Bachelors,Management
1069,12068,74,"Jenkins, Maria",Bachelors,Management
1070,12069,53,"Kelly, Garrett",Bachelors,Management
1071,12070,46,"Ross, Luke",Bachelors,Management
1072,12071,46,"Robinson, Robert",Bachelors,Management
1073,12072,67,"Ross, Tristan",Bachelors,Management
1074,12073,67,"Rodriguez, Thomas",Bachelors,Management
1076,12075,265,"Griffin, Cameron",Bachelors,Management
1077,12076,62,"Washington, Chloe",Bachelors,Management
1079,12078,286,"Edwards, Jose",Bachelors,Management
1080,12079,73,"Cooper, Nathaniel",Bachelors,Management
1086,12085,203,"Rodriguez, Tyler",Bachelors,Management
1088,12087,67,"Cook, Sean",Bachelors,Management
1089,12088,204,"Thompson, Lauren",Bachelors,Management
1092,12091,196,"Munoz, Eddie",High School,Professional
1093,12092,258,"White, Austin",High School,Professional
1094,12093,46,"Chandra, Levi",Partial College,Professional
1095,12094,68,"Bailey, Bailey",Bachelors,Management
1096,12095,69,"Griffin, Austin",Bachelors,Management
